Comentário,notaPositiva,notaNegativa,Sentimento
"No meu tempo d Colégio,sofri bullying!
Não me tornei assassino!
Procurava resolver a situação na hr mesmo!
Xingava a mãe e resolvia no soco!
Hj ensinam as crianças à que???
Contar pros outros
Faça-me o favor né!!!
Criaram uma geração d fresquinhos 
Q qualquer coisinha causa ""sofrimento""!
Mimizentos dando lição d moral em 3,2,1...",2,-4,negativo
"haaataaa...eu sempre fui chamada de 4 olhos por usar óculos ,de Olivia palito por ser muito magra fora outros apelidos e não sai matando ninguém e nem tive depressão por isso, geração mimimi ..
Isso são pais e famílias desestruturadas que pegam seus filhos e jogam no mundo fazendo com que se criem do jeito que for, tem preguiça de dar atenção ao filhos e educar como tem que ser.",2,-3,negativo
Bullying é a nova desculpe de mimados tornarem-se bandidos? Geração mimimi,1,-2,negativo
"Na minha época tinha bulyng e não dava nada, aliás dava: nos deixava mais fortes...essa geração Nutella é muito fraca, são criadas a água doce.",2,-2,neutro
"Eu sofri vários tipos de bullying na escola me criei traumatizado era pobre feio dente podre tudo que tinha de errado acontecia comigo nem por isso saio matando todo mundo essa geração anos 2000 é muito mimimi poxa, geração boa é minha nos anos 84 era época boa frequentei escola pela primeira vez com 7 anos não tinha essa porcaria de mimimi poxaa",2,-4,negativo
"Pais têm que educar. Têm que dar limite. Têm que dizer não. Pais não são amiguinhos dos filhos. O que falta pra essa geração é palmada, merthiolate e não! Porque se não crescem esses retardados que, na primeira pancada da vida, não têm suporte emocional.",2,-2,neutro
"Nossos tataravós sofriam bullying e nunca executaram seus colegas! O que falta é comprometimento dos pais com a educação dos filhos. Hoje em dia é muito mimimi: isso não pode, aquilo não pode, vai traumatizar o coitadinho...Graças aos castigos e às palmadas que levei quando criança, sou uma pessoa educada, empática e agradeço aos meus pais por isso.",2,-4,negativo
Eu enfrentava o meu no soco dae os agressores bullynistas pararam kkk,2,-2,neutro
"Bullying é CRIME!!!
Expulsem quem pratica essa barbaridade,pois passar a mão na cabeça desses marginais não adianta nada.
Praticou bullying, expulsão!
Simples.",1,-3,negativo
"Agora tudo é desculpa, depois que inventaram esses títulos ridículos, estão é alimentando uma sociedade retardada e bandida!!!",1,-3,negativo
"Ensinem seus filhos a se defenderem,na hora h papaizinho e mamaezinha nao estao presentes pra proteger seus filhos",1,-1,neutro
"Pra começar não chamaria de autor, mas de monstro, outra coisa sofri muito no meu tempo de escola, e nem por isso saí matando as pessoas.. Parem de achar alguma justificativa, os monstros eram ruins mesmo",1,-4,negativo
"Tem um monte de gente que sofre bullying (negros, lgbts) e não sai atirando por aí...",1,-4,negativo
"Eta geração do mimi,mimi e mimi, a mídia dele que dele manipular a população e os idiotas caindo. Tá na hora de levantar a cabeça do celular e viver em sociedade. Muito Triste tudo isso que tá acontecendo.",3,-3,neutro
Na minha época quando incomodava na escola seja desrespeitando professor debochando de colegas se metendo em brigas a gente era expulso tomava uma boa surra em casa e tinga muita dificuldade pra conseguir vaga em outra escola hj não pode fazer nada pra repreender os alunos na escola eles fazem bullying ate com processores,3,-2,positivo
"Sofri bullying da primeira até a quarta série e não sou revoltada, nunca bati em ninguém, não tenho odio ,não tive vontade de invadir minha ex escola e fuzilar ninguém , fui criada pra ser forte e não bunda mole que nem essa geração de hoje!! A falta de respeito mascarada de bullying é responsabilidade dos pais!! Eduquem seus filhos!!",3,-4,negativo
Pura Palhaçada antigamente não exestia nada disso...Virou modinha dos americanos e o mundo inteiro aderiu..,1,-2,negativo
